starred_at,user,user_url,star_number,minute,previous_starred_at,seconds_since_previous
2026-05-17 20:52:44+00:00,Davidfrosted,https://github.com/Davidfrosted,1,2026-05-17 20:52:00+00:00,,
2026-05-17 20:52:46+00:00,Wereca,https://github.com/Wereca,2,2026-05-17 20:52:00+00:00,2026-05-17 20:52:44+00:00,2.0
2026-05-17 20:53:47+00:00,dasko2026,https://github.com/dasko2026,3,2026-05-17 20:53:00+00:00,2026-05-17 20:52:46+00:00,61.0
2026-05-17 20:53:59+00:00,mdsajibmolla666-gif,https://github.com/mdsajibmolla666-gif,4,2026-05-17 20:53:00+00:00,2026-05-17 20:53:47+00:00,12.0
2026-05-17 20:54:31+00:00,Ahmedcu1,https://github.com/Ahmedcu1,5,2026-05-17 20:54:00+00:00,2026-05-17 20:53:59+00:00,32.0
2026-05-17 20:58:20+00:00,burilisman,https://github.com/burilisman,6,2026-05-17 20:58:00+00:00,2026-05-17 20:54:31+00:00,229.0
2026-05-17 20:59:02+00:00,robinjohnston25,https://github.com/robinjohnston25,7,2026-05-17 20:59:00+00:00,2026-05-17 20:58:20+00:00,42.0
2026-05-17 21:00:37+00:00,mdasura9292,https://github.com/mdasura9292,8,2026-05-17 21:00:00+00:00,2026-05-17 20:59:02+00:00,95.0
2026-05-17 21:04:02+00:00,vkua1959,https://github.com/vkua1959,9,2026-05-17 21:04:00+00:00,2026-05-17 21:00:37+00:00,205.0
2026-05-17 21:05:31+00:00,fariyassssss,https://github.com/fariyassssss,10,2026-05-17 21:05:00+00:00,2026-05-17 21:04:02+00:00,89.0
2026-05-17 21:08:30+00:00,alerud73,https://github.com/alerud73,11,2026-05-17 21:08:00+00:00,2026-05-17 21:05:31+00:00,179.0
2026-05-17 21:10:25+00:00,Lesjes,https://github.com/Lesjes,12,2026-05-17 21:10:00+00:00,2026-05-17 21:08:30+00:00,115.0
2026-05-17 21:13:39+00:00,tjpriya2110-cloud,https://github.com/tjpriya2110-cloud,13,2026-05-17 21:13:00+00:00,2026-05-17 21:10:25+00:00,194.0
2026-05-17 21:14:22+00:00,Welest-hub,https://github.com/Welest-hub,14,2026-05-17 21:14:00+00:00,2026-05-17 21:13:39+00:00,43.0
2026-05-17 21:20:22+00:00,EVGENI2904,https://github.com/EVGENI2904,15,2026-05-17 21:20:00+00:00,2026-05-17 21:14:22+00:00,360.0
2026-05-17 21:21:14+00:00,dmitriishum2018-lab,https://github.com/dmitriishum2018-lab,16,2026-05-17 21:21:00+00:00,2026-05-17 21:20:22+00:00,52.0
2026-05-17 21:23:53+00:00,murshida9397,https://github.com/murshida9397,17,2026-05-17 21:23:00+00:00,2026-05-17 21:21:14+00:00,159.0
2026-05-17 21:25:59+00:00,hussainnazmul140-hue,https://github.com/hussainnazmul140-hue,18,2026-05-17 21:25:00+00:00,2026-05-17 21:23:53+00:00,126.0
2026-05-17 21:27:08+00:00,bahil2653-sketch,https://github.com/bahil2653-sketch,19,2026-05-17 21:27:00+00:00,2026-05-17 21:25:59+00:00,69.0
2026-05-17 21:40:00+00:00,oldforward,https://github.com/oldforward,20,2026-05-17 21:40:00+00:00,2026-05-17 21:27:08+00:00,772.0
2026-05-17 21:42:04+00:00,hman19877,https://github.com/hman19877,21,2026-05-17 21:42:00+00:00,2026-05-17 21:40:00+00:00,124.0
2026-05-17 22:05:07+00:00,abasy8,https://github.com/abasy8,22,2026-05-17 22:05:00+00:00,2026-05-17 21:42:04+00:00,1383.0
2026-05-17 22:11:08+00:00,bevberu,https://github.com/bevberu,23,2026-05-17 22:11:00+00:00,2026-05-17 22:05:07+00:00,361.0
2026-05-17 22:30:01+00:00,rimirivye-droid,https://github.com/rimirivye-droid,24,2026-05-17 22:30:00+00:00,2026-05-17 22:11:08+00:00,1133.0
2026-05-17 23:37:50+00:00,Sanpen43,https://github.com/Sanpen43,25,2026-05-17 23:37:00+00:00,2026-05-17 22:30:01+00:00,4069.0
2026-05-17 23:49:49+00:00,yulia4325,https://github.com/yulia4325,26,2026-05-17 23:49:00+00:00,2026-05-17 23:37:50+00:00,719.0
2026-05-18 00:02:02+00:00,mdshevle-ux,https://github.com/mdshevle-ux,27,2026-05-18 00:02:00+00:00,2026-05-17 23:49:49+00:00,733.0
2026-05-18 00:05:42+00:00,nila468426-dev,https://github.com/nila468426-dev,28,2026-05-18 00:05:00+00:00,2026-05-18 00:02:02+00:00,220.0
2026-05-18 00:05:54+00:00,a5yal44678-coder,https://github.com/a5yal44678-coder,29,2026-05-18 00:05:00+00:00,2026-05-18 00:05:42+00:00,12.0
2026-05-18 00:18:47+00:00,fukkus82,https://github.com/fukkus82,30,2026-05-18 00:18:00+00:00,2026-05-18 00:05:54+00:00,773.0
2026-05-18 00:30:39+00:00,dimk24,https://github.com/dimk24,31,2026-05-18 00:30:00+00:00,2026-05-18 00:18:47+00:00,712.0
2026-05-18 00:56:34+00:00,malek4786-pixel,https://github.com/malek4786-pixel,32,2026-05-18 00:56:00+00:00,2026-05-18 00:30:39+00:00,1555.0
2026-05-18 00:59:35+00:00,fahimrs729-glitch,https://github.com/fahimrs729-glitch,33,2026-05-18 00:59:00+00:00,2026-05-18 00:56:34+00:00,181.0
2026-05-18 01:00:28+00:00,babulsheikh963-prog,https://github.com/babulsheikh963-prog,34,2026-05-18 01:00:00+00:00,2026-05-18 00:59:35+00:00,53.0
2026-05-18 01:06:23+00:00,sezan58,https://github.com/sezan58,35,2026-05-18 01:06:00+00:00,2026-05-18 01:00:28+00:00,355.0
2026-05-18 01:11:41+00:00,gitmhsiyam010,https://github.com/gitmhsiyam010,36,2026-05-18 01:11:00+00:00,2026-05-18 01:06:23+00:00,318.0
2026-05-18 01:41:27+00:00,Jackson8785,https://github.com/Jackson8785,37,2026-05-18 01:41:00+00:00,2026-05-18 01:11:41+00:00,1786.0
2026-05-18 01:50:24+00:00,mongsala123,https://github.com/mongsala123,38,2026-05-18 01:50:00+00:00,2026-05-18 01:41:27+00:00,537.0
2026-05-18 01:50:57+00:00,ekekram001-hash,https://github.com/ekekram001-hash,39,2026-05-18 01:50:00+00:00,2026-05-18 01:50:24+00:00,33.0
2026-05-18 01:54:59+00:00,ahmadkawsar917-ai,https://github.com/ahmadkawsar917-ai,40,2026-05-18 01:54:00+00:00,2026-05-18 01:50:57+00:00,242.0
2026-05-18 02:04:43+00:00,deymanai994-ctrl,https://github.com/deymanai994-ctrl,41,2026-05-18 02:04:00+00:00,2026-05-18 01:54:59+00:00,584.0
